2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Jura from Jura-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-Light.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-Medium.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-ExtraLight.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Turret Road from TurretRoad-ExtraBold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Pixelify Sans from PixelifySans-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Pixelify Sans from PixelifySans-Medium.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Pixelify Sans from PixelifySans-SemiBold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Pixelify Sans from PixelifySans-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Pixelify Sans from PixelifySans-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Silkscreen from Silkscreen-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Silkscreen from Silkscreen-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Dongle from Dongle-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Dongle from Dongle-Light.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Dongle from Dongle-Bold.ttf
